University,PhD,BA,BFA,MFA,MM,MS,DPhil,AB,MUPP,MEd,MNEd,JD,LCSW,ABD,MPhil,BS,Juris Doctor,MA,MA/MPhil
University of Athens Greece,1,1,,,,,,,,,,,,,,,,,
University of Thessaloniki Greece,,1,,,,,,,,,,,,,,,,,
Northwestern University,3,2,,,,,,,,,,,,,,,,1,
State University of New York,2,,,,,,,,,,,,,,,,,,
University of Chicago Chicago,2,,,,,,,,,,,,,,,,,,
St. Olaf College,,2,,,,,,,,,,,,,,,,,
University of Massachusetts Amherst,10,,,,,,,,,,,,,,,,,1,
University of Minnesota,4,,,,,,,,,,,,,,,,,,
Brandeis University,4,,,,,,,,,,,,,,,,,1,
Columbia University,5,,,,,,,,,,,,,,,,,2,
University of California - Irvine,1,,,,,,,,,,,,,,,,,,
Florida State University,2,,,,,,,,,,,,,,,,,1,
University of Michigan,5,,,1,,,,,,,,,,,,,,,
University of Massachusetts Boston,1,2,,,,,,,,1,,,,,,,,2,
University of Utah,1,,,,,,,,,,,,,,,,,,
University of Illinois,,,,1,,,,,,,,,,,,,,,
Carnegie Mellon University,,1,,,,,,,,,,,,,,,,,
University of Chicago,2,2,,,,,,,,,,,,,,,,2,
University of California Berkeley,5,1,,,,,,,,,,,,,,,,,
Stanford University,3,,,,,,,,,,,,,,,,,,
University of Illinois at Chicago,2,,,,,,,,1,,,,,,,,,,
University of Texas Austin,1,,,,,,,,,,,,,,,,,,
Oberlin College,,2,,,,,,,,,,,,,,,,,
Boston College,2,,,,,,,,,,,,,,,,,2,
New York University,7,,1,,,,,,,,,,,,,,,,
University of Pittsburgh,1,,,1,,,,,,,,,,,,,,,
Baldwin-Wallace College,,1,,,,,,,,,,,,,,,,,
University of Texas at Austin,2,,,,,,,,,,,,,,,,,,
Longwood College,,1,,,,,,,,,,,,,,,,,
University of California San,2,,,,,,,,,,,,,,,,,,
Brown University,5,,,,,,,1,,,,,,,,,,,
Yale University,3,1,,1,,,,,,,,,,,,,,,
Duke University,3,,,,,,,,,,,,,,,,,1,
North Carolina Central University,,2,,,,,,,,,,,,,,,,,
Stony Brook University,1,,,,,,,,,,,,,,,,,,
Tufts University,,,,,,,,,,,,,,,,,,3,
Middlebury College,,1,,,,,,,,,,,,,,,,,
Boston University,7,1,,2,,,,,,,,,,,,,,2,
Michigan State University,4,,,,,,,,,,,,,,,,,,
University of Toronto 2008,1,,,,,,,,,,,,,,,,,,
University of Toronto,1,,,,,,,,,,,,,,,,,,
Harvard University MDiv,1,,,,,,,,,,,,,,,,,,
University of California at Santa Barbara,,1,,,,,,,,,,,,,,,,,
Oxford University,1,,,,,,,,,,,,,,,,,,
University of California Irvine,1,,,,,,,,,,,,,,,,,,
in Sociology. Northeastern University Post Doc. National Academy of Education/Spencer Foundation,1,,,,,,,,,,,,,,,,,,
Harvard University,10,,,,,,,,,,,,,,,,,1,
City University of New York Graduate Center,1,,,,,,,,,,,,,,,,,,
Northeastern University,1,,,,,,,,,,,,,,,,,1,
University of Pennsylvania,5,1,,,,,,,,,,,,,,,,,
York University,2,1,,,,,,,,,,,,,,,,,
University of Kentucky 2007,1,,,,,,,,,,,,,,,,,,
University of Toulouse II,1,,,,,,,,,,,,,,,,,,
University of Southern California,4,,,,,,,,,,,,,,,,,2,
Scripps College,,1,,,,,,,,,,,,,,,,,
University of Florida,3,,,,,,,,,,,,,,,1,,,
The University of Texas at Austin,,1,,,,,,,,,,,,,,,,1,
Sogang University,,1,,,,,,,,,,,,,,,,,
Bowdoin College LICSW,,1,,,,,,,,,,,,,,,,,
University of Minnesota 1999,1,,,,,,,,,,,,,,,,,,
University of Toronto 1986,,1,,,,,,,,,,,,,,,,,
Rutgers University,1,,,,,,,,,,,,,,,,,,
University of Nevada Reno,1,,,,,1,,,,,,,,,,,,,
Queen's University of Belfast,,,,,,,,,,,,,,,,,,1,
University of Oregon,,1,,,,,,,,,,,,,,,,,
MIT,2,,,,,,,,,,,,,,,,,,
University of Minnesota 1993,1,,,,,,,,,,,,,,,,,,
BA,,,,,,,,,,,,,,,,,,1,
UMass Boston,,,,,,,,,,,,,,,,,,1,
University of Pennsylvania 2004,,1,,,,,,,,,,,,,,,,,
University of Illinois Chicago,3,,,,,,,,,,,,,,,,,,
Bryn Mawr College,1,,,,,,,,,,,,,,,,,1,
London University,,,,,,,,,,,,,,,,,,1,
Cambridge University,,1,,,,,,,,,,,,,1,,,,
Princeton University,5,,,,,,,1,,,,,,,,,,,
University of Washington,1,,,,,,,,,,,,,,,,,,
University of Iowa 2017,2,,,,,,,,,,,,,,,,,,
Chinese University of Hong Kong,,,,,,,,,,,,,,,2,,,,
Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,2,
Fudan University,,2,,,,,,,,,,,,,,,,,
University of California Los,3,,,,,,,,,,,,,,,,,1,
Minnesota State University at Mankato,,,,1,,,,,,,,,,,,,,,
St. Cloud State University,,1,,,,,,,,,,,,,,,,,
University of Miami,,,,,1,,,,,,,,,,,,,,
University of Maryland College Park,1,,,,,,,,,,,,,,,,,,
University of Connecticut,2,,,,,,,,,,,,,,,,,,
Trinity College,,,,,,,,,,,,,,,,,,2,
University of Colorado,,,,2,,,,,,,,,,,,,,,
PhD,,,,2,,,,,,,,1,,,,,,,
The University of Toronto,1,,,,,,,,,,,,,,,,,,
California State University,,,,,,,,,,,,,,,,,,1,
Franklin and Marshall College,,1,,,,,,,,,,,,,,,,,
University of Massachusetts Boston M,,,,,,1,,,,,,,,,,,,,
University of Cambridge,1,,,,,,,,,,,,,,1,,,,
Williams College,,2,,,,,,,,,,,,,,,,,
DePaul University,1,,,,,,,,,1,,,,,,,,,
University of Illinois at Urbana-Champaign,1,1,,,,,,,,,,,,,,,,,
University of Maine,,,,,,,,,,,,,,,,,,2,
University of Oxford,,,,,,,,,,,,,,,1,,,,
London School of Economics,1,,,,,,,,,,,,,,,,,,
Catholic University of America,1,,,,,,,,,,,,,,,,,,
University of Iowa,1,,,,,,,,,,,,,,,,,,
